customer_id,aircraft_id,route_id,depart,arrival,seat_num,class_id,travel_date,flight_num
2,767-301ER,4,JFK,LAX,01E,Economy,2018-09-02,1114
1,ERJ142,9,DEN,LAX,01EP,Economy Plus,2019-12-26,1119
5,767-301ER,12,ABI,ADK,02B,Bussiness,2018-07-02,1122
5,ERJ142,18,ANI,BGR,02E,Economy,2020-05-06,1128
4,767-301ER,5,LAX,JFX,02FC,First Class,2020-04-06,1115
7,767-301ER,20,AVL,BOI,03B,Bussiness,2020-07-08,1130
5,ERJ142,22,BGR,BJI,03E,Economy,2020-05-31,1132
4,767-301ER,4,JFK,LAX,03FC,First Class,2020-04-30,1114
11,767-301ER,5,LAX,JFX,04B,Bussiness,2020-11-12,1115
17,A321,13,ABI,ADK,04EP,Economy Plus,2019-06-03,1123
9,767-301ER,15,CAK,ANI,04FC,First Class,2020-09-10,1125
11,767-301ER,4,JFK,LAX,05B,Bussiness,2020-11-09,1114
10,A321,10,HNL,DEN,05E,Economy,2020-10-11,1120
15,A321,14,BQN,CAK,06B,Bussiness,2018-11-02,1124
13,A321,13,ADK,BQN,06FC,First Class,2019-01-05,1123
22,ERJ142,22,BGR,BJI,07EP,Economy Plus,2020-02-09,1132
24,A321,14,BQN,CAK,08B,Bussiness,2019-07-22,1124
25,767-301ER,23,BLV,BFL,09B,Bussiness,2019-03-07,1133
50,A321,21,BFL,BET,10EP,Economy Plus,2020-08-15,1131
29,ERJ142,9,DEN,LAX,11B,Bussiness,2018-05-03,1119
44,767-301ER,15,CAK,ANI,11FC,First Class,2020-10-06,1125
46,A321,8,ORD,EWR,12FC,First Class,2011-07-08,1118
49,767-301ER,15,CAK,ANI,13B,Bussiness,2020-08-19,1125
31,767-301ER,20,AVL,BOI,13E,Economy,2018-12-31,1130
18,767-301ER,1,EWR,HNL,13FC,First Class,2018-04-01,1111
46,A321,25,RDM,BJI,14E,Economy,2020-11-25,1135
